MovieID,Title,Genres,Rating
2846,"Adventures of Milo and Otis, The (1986)",Children's,3.3674698795180724
1447,Gridlock'd (1997),Crime,3.36734693877551
2661,It Came from Outer Space (1953),Sci-Fi,3.3617021276595747
1464,Lost Highway (1997),Mystery,3.3517241379310345
3036,Quest for Fire (1981),Adventure,3.2298850574712645
3207,"Snows of Kilimanjaro, The (1952)",Adventure,3.2
2047,"Gnome-Mobile, The (1967)",Children's,3.1818181818181817
2895,Napoleon and Samantha (1972),Adventure,3.0
3380,Railroaded! (1947),Film-Noir,3.0
652,"301, 302 (1995)",Mystery,2.888888888888889
2945,Mike's Murder (1984),Mystery,2.6785714285714284
1426,Zeus and Roxanne (1997),Children's,2.5217391304347827
3149,Diamonds (1999),Mystery,2.4444444444444446
343,"Baby-Sitters Club, The (1995)",Children's,2.4285714285714284
977,Moonlight Murder (1936),Mystery,2.0
3820,Thomas and the Magic Railroad (2000),Children's,1.8108108108108107
